name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Pb (Golovashkin-293K)",Golovashkin-293K,RefractiveIndex.info,main,Golovashkin-293K.yml,0.001797,0.993943,0.883721,0.002094,0.998752,1.000000,0.001318,0.997792,1.000000,0.001611,0.718874,1.000000,0.000877,1.000000,0.411765
"Pb (Golovashkin-4.2K)",Golovashkin-4.2K,RefractiveIndex.info,main,Golovashkin-4.2K.yml,0.000705,0.979689,0.534884,0.001474,0.992588,1.000000,0.000965,0.993261,1.000000,0.001335,0.824020,1.000000,0.000867,1.000000,0.411765
"Pb (Golovashkin-78K)",Golovashkin-78K,RefractiveIndex.info,main,Golovashkin-78K.yml,0.006687,0.965323,0.883721,0.001506,0.999561,1.000000,0.002234,0.992884,1.000000,0.002078,0.813051,1.000000,0.000537,0.882624,0.317647
"Pb (Mathewson-140K)",Mathewson-140K,RefractiveIndex.info,main,Mathewson-140K.yml,0.001245,0.842266,1.000000,0.002153,0.974135,1.000000,0.000874,0.996217,0.479429,0.000352,1.000000,0.000000,0.000154,1.000000,0.000000
"Pb (Mathewson-298K)",Mathewson-298K,RefractiveIndex.info,main,Mathewson-298K.yml,0.001021,0.973564,1.000000,0.001734,0.945010,1.000000,0.000640,0.998223,0.479429,0.000433,1.000000,0.000000,0.000162,1.000000,0.000000
"Pb (Ordal)",Ordal,RefractiveIndex.info,main,Ordal.yml,0.001390,0.969190,0.262791,0.002529,0.994118,1.000000,0.001260,0.933348,1.000000,0.001030,0.657797,1.000000,0.000400,1.000000,1.000000
"Pb (Werner-DFT)",Werner-DFT,RefractiveIndex.info,main,Werner-DFT.yml,0.006959,0.999149,1.000000,0.000538,0.748848,1.000000,0.000397,1.000000,0.985489,0.000210,1.000000,0.000000,0.000176,1.000000,0.000000
"Pb (Werner)",Werner,RefractiveIndex.info,main,Werner.yml,0.001439,0.999873,1.000000,0.001390,0.867354,1.000000,0.000833,0.733583,0.985489,0.000225,1.000000,0.000000,0.000162,1.000000,0.000000
"PbI2 (Frisenda)",Frisenda,RefractiveIndex.info,main,Frisenda.yml,0.005208,0.990669,0.829165,0.000375,1.000000,0.042304,0.000485,1.000000,0.000000,0.000232,1.000000,0.000000,0.000439,1.000000,0.000000
"PbSe (Suzuki)",Suzuki,RefractiveIndex.info,main,Suzuki.yml,0.001324,0.999566,1.000000,0.001024,0.992581,0.931562,0.000498,1.000000,0.000000,0.000443,1.000000,0.000000,0.000442,1.000000,0.000000
