# Red wall of the Cornell box: SLUM sample B008.
#
# Manual entry: Class "Ceramic brick", Material "Ceramic", Colour "Light red",
# Status "New", 215 x 65 x 100 mm.
#
# Source: Kotthaus, Smith, Wooster & Grimmond (2014), ISPRS J. Photogramm.
# Remote Sens. 94:194-212.  Data DOI: 10.5281/zenodo.4263842.  Licence CC-BY 4.0.
# Short-wave reflectance measured on a Beckman spectrophotometer; the 8-14 um
# segment is FTIR emissivity inverted once as rho = 1 - eps, valid because these
# surfaces are opaque (tau = 0).
#
# Chosen over the previous ECOSTRESS "Red smooth-faced Brick (0097UUUBRK)"
# because it is both more saturated and brighter -- 0.67 against 0.56 in HSV
# saturation and 0.266 against 0.149 in luminance, under D65 through this
# renderer own colour conversion.
#
# WHAT THIS CURVE DOES NOT MEASURE. The two instruments leave a 5.5 um gap
# between 2506 nm and 8002 nm, and SpectralCurve::Evaluate interpolates linearly
# across it. Every value this file implies between those wavelengths is a
# straight line, not a measurement -- which covers the whole of MWIR. The
# visible, NIR and SWIR bands are measured throughout, and the Cornell box is a
# visible-light scene in every gate and experiment that uses it. Do not read a
# MWIR number off this wall.
#
# wavelength_nm, reflectance
1324.5, 0.691410
1328.2, 0.691521
1332.0, 0.691638
1335.7, 0.691662
1339.4, 0.691631
1343.2, 0.691569
1346.9, 0.691346
1350.6, 0.691143
1354.3, 0.690916
1358.1, 0.690644
1361.8, 0.690396
1365.5, 0.690161
1369.2, 0.689744
1372.9, 0.689290
1376.7, 0.688911
1380.4, 0.688523
1384.1, 0.688010
1387.8, 0.687438
1391.5, 0.686575
1395.2, 0.685772
1398.9, 0.684986
1402.6, 0.683988
1406.3, 0.682692
1410.0, 0.681499
1413.6, 0.680337
1417.3, 0.679301
1421.0, 0.678269
1424.7, 0.676921
1428.3, 0.675139
1432.0, 0.673477
1435.7, 0.671703
1439.4, 0.670116
1443.0, 0.668888
1446.7, 0.668340
1450.3, 0.668550
1454.0, 0.669499
1457.7, 0.670850
1461.3, 0.672322
1465.0, 0.673837
1468.6, 0.674923
1472.2, 0.675578
1475.9, 0.675996
1479.5, 0.676074
1483.2, 0.676210
1486.8, 0.676340
1490.4, 0.676778
1494.0, 0.677534
1497.7, 0.678754
1501.3, 0.680101
1504.9, 0.681257
1508.5, 0.682318
1512.1, 0.683082
1515.7, 0.683743
1519.3, 0.684203
1522.9, 0.684314
1526.5, 0.684436
1530.1, 0.684624
1533.7, 0.684994
1537.3, 0.685339
1540.8, 0.685877
1544.4, 0.686666
1548.0, 0.687645
1551.6, 0.688805
1555.1, 0.689799
1558.7, 0.690604
1562.3, 0.691285
1565.8, 0.692142
1569.4, 0.693048
1572.9, 0.693752
1576.5, 0.694340
1580.0, 0.695152
1583.6, 0.695959
1587.1, 0.696471
1590.6, 0.696867
1594.2, 0.697254
1597.7, 0.697716
1601.2, 0.698423
1604.7, 0.699248
1608.2, 0.699812
1611.7, 0.700228
1615.2, 0.700800
1618.8, 0.701303
1622.2, 0.701639
1625.8, 0.701758
1629.2, 0.701940
1632.7, 0.702266
1636.2, 0.702611
1639.7, 0.702831
1643.2, 0.702938
1646.6, 0.703125
1650.1, 0.703525
1653.6, 0.703963
1657.0, 0.704416
1660.5, 0.704435
1663.9, 0.704564
1667.4, 0.704870
1670.8, 0.704983
1674.3, 0.704926
1677.7, 0.704920
1681.1, 0.704968
1684.5, 0.705172
1688.0, 0.705222
1691.4, 0.705232
1694.8, 0.705044
1698.2, 0.705069
1701.6, 0.705293
1705.0, 0.705117
1708.4, 0.704709
1711.8, 0.704099
1715.2, 0.703266
1718.6, 0.702398
1722.0, 0.701245
1725.3, 0.699862
1728.7, 0.698542
1732.1, 0.697503
1735.4, 0.696641
1738.8, 0.695667
1742.1, 0.695006
1745.5, 0.694596
1748.8, 0.694365
1752.2, 0.694500
1755.5, 0.694649
1758.8, 0.694681
1762.1, 0.694789
1765.5, 0.694947
1768.8, 0.695108
1772.1, 0.695273
1775.4, 0.695551
1778.7, 0.695718
1782.0, 0.695923
1785.3, 0.696401
1788.5, 0.696974
